PRICE,BEDS,BATH,PROPERTYSQFT,Bronx,Brooklyn,Manhattan,Queens,Staten Island
265000,1,1,750.0,True,False,False,False,False
375000,2,1,850.0,True,False,False,False,False
350000,1,1,700.0,True,False,False,False,False
199900,1,1,2184.207862,True,False,False,False,False
600000,2,2,2184.207862,True,False,False,False,False
1295000,4,2,1995.0,True,False,False,False,False
1249000,3,2,2184.207862,True,False,False,False,False
650000,3,2,1638.0,True,False,False,False,False
90000,1,1,450.0,True,False,False,False,False
549000,5,3,496.0,True,False,False,False,False
269000,1,1,2184.207862,True,False,False,False,False
1300000,3,2,2184.207862,True,False,False,False,False
1300000,3,2,2184.207862,True,False,False,False,False
269000,1,1,2184.207862,True,False,False,False,False
999000,6,2,1280.0,True,False,False,False,False
200000,1,1,613.0,True,False,False,False,False
69000,1,1,850.0,True,False,False,False,False
320000,2,2,936.0,True,False,False,False,False
285000,2,1,1000.0,True,False,False,False,False
899000,8,2,2160.0,True,False,False,False,False
850000,5,2,1908.0,True,False,False,False,False
400000,2,2,1150.0,True,False,False,False,False
105509,1,1,650.0,True,False,False,False,False
395995,2,1,1100.0,True,False,False,False,False
499999,2,1,1744.0,True,False,False,False,False
2000000,3,2,2184.207862,True,False,False,False,False
795000,3,2,2184.207862,True,False,False,False,False
1245000,3,2,2184.207862,True,False,False,False,False
215000,2,2,747.0,True,False,False,False,False
275000,2,1,1104.0,True,False,False,False,False
275000,2,1,900.0,True,False,False,False,False
729000,3,2,1400.0,True,False,False,False,False
1395000,3,2,2184.207862,True,False,False,False,False
209000,1,1,1078.0,True,False,False,False,False
375000,2,2,1200.0,True,False,False,False,False
609000,3,2,1620.0,True,False,False,False,False
375000,2,2,1350.0,True,False,False,False,False
700000,3,2,1620.0,True,False,False,False,False
379000,1,2,704.0,True,False,False,False,False
229000,2,1,950.0,True,False,False,False,False
899975,6,3,1952.0,True,False,False,False,False
1235000,3,2,2184.207862,True,False,False,False,False
220000,2,1,850.0,True,False,False,False,False
499000,2,2,1350.0,True,False,False,False,False
119000,1,1,650.0,True,False,False,False,False
309900,2,1,900.0,True,False,False,False,False
435000,3,2,1034.0,True,False,False,False,False
1950000,5,4,4000.0,True,False,False,False,False
1290000,3,2,2905.0,True,False,False,False,False
109000,1,1,2184.207862,True,False,False,False,False
307000,2,1,960.0,True,False,False,False,False
650000,3,2,1912.0,True,False,False,False,False
374900,1,1,782.0,True,False,False,False,False
889000,3,2,2184.207862,True,False,False,False,False
249000,2,1,800.0,True,False,False,False,False
249000,1,1,850.0,True,False,False,False,False
749000,4,2,1420.0,True,False,False,False,False
295000,1,1,2184.207862,True,False,False,False,False
295000,1,1,2184.207862,True,False,False,False,False
469888,2,2,1164.0,True,False,False,False,False
659000,3,2,1300.0,True,False,False,False,False
465000,2,2,988.0,True,False,False,False,False
699000,3,2,2034.0,True,False,False,False,False
605000,3,2,1500.0,True,False,False,False,False
639000,3,2,1224.0,True,False,False,False,False
250000,1,1,900.0,True,False,False,False,False
1250000,6,3,2400.0,True,False,False,False,False
1195000,11,6,2184.207862,True,False,False,False,False
869000,6,3,1526.0,True,False,False,False,False
749000,3,2,1480.0,True,False,False,False,False
240900,2,1,875.0,True,False,False,False,False
129000,1,1,750.0,True,False,False,False,False
262500,1,1,2184.207862,True,False,False,False,False
899999,5,3,1800.0,True,False,False,False,False
430000,2,2,1200.0,True,False,False,False,False
535000,3,3,1328.0,True,False,False,False,False
749000,3,2,1600.0,True,False,False,False,False
124900,1,1,676.0,True,False,False,False,False
249000,2,1,815.0,True,False,False,False,False
1999000,6,4,3850.0,True,False,False,False,False
7500000,6,2,2184.207862,True,False,False,False,False
385000,1,1,900.0,True,False,False,False,False
349000,2,1,900.0,True,False,False,False,False
1195000,3,3,995.0,True,False,False,False,False
550000,2,2,995.0,True,False,False,False,False
299999,2,1,857.0,True,False,False,False,False
149999,1,1,850.0,True,False,False,False,False
340000,2,1,900.0,True,False,False,False,False
340000,2,1,900.0,True,False,False,False,False
425000,2,2,800.0,True,False,False,False,False
2750000,4,2,2184.207862,True,False,False,False,False
357000,3,1,1100.0,True,False,False,False,False
1099999,4,2,2185.0,True,False,False,False,False
319000,2,2,1102.0,True,False,False,False,False
395000,2,2,1089.0,True,False,False,False,False
1250000,4,2,2273.0,True,False,False,False,False
795000,3,4,1171.0,True,False,False,False,False
1350000,4,2,2948.0,True,False,False,False,False
1650000,5,4,2184.207862,True,False,False,False,False
660000,3,2,1283.0,True,False,False,False,False
385000,2,2,1100.0,True,False,False,False,False
598000,3,2,1144.0,True,False,False,False,False
598000,3,2,1144.0,True,False,False,False,False
200000,1,2,637.0,True,False,False,False,False
279900,1,1,900.0,True,False,False,False,False
165000,1,1,875.0,True,False,False,False,False
279900,1,1,900.0,True,False,False,False,False
99000,1,1,850.0,True,False,False,False,False
429000,2,2,1450.0,True,False,False,False,False
429000,2,2,1450.0,True,False,False,False,False
219999,2,1,800.0,True,False,False,False,False
450000,3,2,1122.0,True,False,False,False,False
279000,2,2,1050.0,True,False,False,False,False
189000,1,1,700.0,True,False,False,False,False
324900,2,2,1100.0,True,False,False,False,False
324900,2,2,1100.0,True,False,False,False,False
175000,1,1,800.0,True,False,False,False,False
549000,3,2,1250.0,True,False,False,False,False
199900,1,1,925.0,True,False,False,False,False
289999,1,1,830.0,True,False,False,False,False
110000,1,1,650.0,True,False,False,False,False
259000,2,1,950.0,True,False,False,False,False
192500,1,1,2184.207862,True,False,False,False,False
749000,3,2,2184.207862,True,False,False,False,False
159000,1,1,800.0,True,False,False,False,False
339000,2,2,906.0,True,False,False,False,False
1780000,4,3,2184.207862,True,False,False,False,False
320000,2,2,1200.0,True,False,False,False,False
1430000,6,4,2840.0,True,False,False,False,False
149000,1,1,750.0,True,False,False,False,False
299999,2,1,863.0,True,False,False,False,False
536000,2,2,1200.0,True,False,False,False,False
165000,1,1,625.0,True,False,False,False,False
638000,3,2,1728.0,True,False,False,False,False
215000,2,1,789.0,True,False,False,False,False
215000,2,1,789.0,True,False,False,False,False
365000,3,2,920.0,True,False,False,False,False
345000,2,1,975.0,True,False,False,False,False
183000,1,1,831.0,True,False,False,False,False
1995000,5,4,3075.0,True,False,False,False,False
205000,1,1,1000.0,True,False,False,False,False
290900,2,1,850.0,True,False,False,False,False
474900,2,2,1054.0,True,False,False,False,False
199000,1,1,2184.207862,True,False,False,False,False
